id_data,lokasi_awal_user,durasi_perjalanan,jumlah_hari,jumlah_orang,budget,segmen_budget,jenis_transportasi,preferensi_penginapan,preferensi_kategori,preferensi_aktivitas,nama_wisata,kategori_wisata,kota_tujuan,latitude,longitude,koordinat_destinasi,alamat,deskripsi_wisata,kecocokan_kategori,kecocokan_aktivitas,kecocokan_budget,kecocokan_jarak,estimasi_jarak_km,estimasi_waktu_menit,estimasi_biaya_transportasi,estimasi_biaya_penginapan,estimasi_biaya_makan,estimasi_biaya_tiket,total_estimasi_biaya,status_budget,label_rekomendasi
BDG-TRV-0021,Garut,3 hari 2 malam,3,5,3228000,premium,mobil,standar,wisata edukasi,alam,Saung Angklung Udjo,wisata edukasi,Kota Bandung,-6.8992,107.6542,"-6.8992,107.6542","Jl. Padasuka No.118, Pasirlayung, Cibeunying Kidul, Kota Bandung","Saung Angklung Udjo adalah destinasi budaya dan edukasi yang menampilkan pertunjukan angklung, seni Sunda, dan aktivitas keluarga.",1,0,1,1,104.76,181,629000,640000,1050000,125000,2444000,sesuai,0
BDG-TRV-0022,Kabupaten Bandung,1 hari,1,2,2050000,standar,motor,tanpa penginapan,wisata alam,healing,Tebing Keraton,wisata alam,Kabupaten Bandung Barat,-6.8341,107.6635,"-6.8341,107.6635","Ciburial, Cimenyan, Kabupaten Bandung Barat",Tebing Keraton adalah destinasi wisata alam dengan pemandangan hutan dan perbukitan yang cocok untuk foto dan menikmati udara sejuk.,1,1,1,0,202.49,425,567000,0,140000,60000,767000,sesuai,0
BDG-TRV-0023,Depok,3 hari 2 malam,3,4,4639000,premium,mobil,nyaman,kuliner,kuliner,Martabak San Francisco Bandung,wisata kuliner,Kota Bandung,-6.9026,107.6092,"-6.9026,107.6092","Jl. Burangrang, Lengkong, Kota Bandung",Martabak San Francisco Bandung adalah destinasi kuliner legendaris yang dikenal dengan pilihan martabak manis dan martabak telur.,1,1,1,0,351.12,541,2107000,1040000,840000,60000,4047000,sesuai,0
BDG-TRV-0024,Cimahi,1 hari,1,5,2683000,premium,mobil,tanpa penginapan,wisata kuliner,foto-foto,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",1,1,1,1,38.41,62,230000,0,350000,75000,655000,sesuai,1
BDG-TRV-0025,Tasikmalaya,1 hari,1,1,617000,hemat,transportasi umum,tanpa penginapan,museum,religi,Tebing Keraton,wisata alam,Kabupaten Bandung Barat,-6.8341,107.6635,"-6.8341,107.6635","Ciburial, Cimenyan, Kabupaten Bandung Barat",Tebing Keraton adalah destinasi wisata alam dengan pemandangan hutan dan perbukitan yang cocok untuk foto dan menikmati udara sejuk.,0,0,0,0,174.34,326,628000,0,70000,30000,728000,melebihi budget,0
BDG-TRV-0026,Kota Bandung,1 hari,1,4,1732000,standar,transportasi umum,tanpa penginapan,gunung,belanja,Kawah Putih,wisata alam,Kabupaten Bandung,-7.1662,107.402,"-7.1662,107.402","Sugihmukti, Pasirjambu, Kabupaten Bandung",Kawah Putih adalah wisata alam di Ciwidey dengan danau kawah berwarna putih kehijauan dan panorama pegunungan.,0,0,1,1,45.14,93,163000,0,280000,120000,563000,sesuai,0
BDG-TRV-0027,Bekasi,2 hari 1 malam,2,1,1875000,standar,transportasi umum,standar,alam,healing,Curug Cimahi,wisata alam,Kabupaten Bandung Barat,-6.7986,107.5775,"-6.7986,107.5775","Kertawangi, Cisarua, Kabupaten Bandung Barat",Curug Cimahi adalah wisata air terjun di Bandung Barat dengan jalur trekking ringan dan suasana alam yang sejuk.,1,1,1,1,220.72,362,795000,320000,140000,30000,1285000,sesuai,1
BDG-TRV-0028,Cimahi,4 hari 3 malam,4,5,1846000,hemat,mobil,hemat,mall,belanja,Paris Van Java Mall,mall,Kota Bandung,-6.8893,107.5966,"-6.8893,107.5966","Jl. Sukajadi No.131-139, Cipedes, Sukajadi, Kota Bandung","Paris Van Java Mall adalah pusat belanja bergaya terbuka yang menawarkan kuliner, hiburan, fashion, dan suasana santai di Kota Bandung.",1,1,0,1,17.55,32,105000,540000,1400000,50000,2095000,melebihi budget,0
BDG-TRV-0029,Bogor,2 hari 1 malam,2,2,665000,hemat,motor,hemat,wisata alam,foto-foto,Curug Cimahi,wisata alam,Kabupaten Bandung Barat,-6.7986,107.5775,"-6.7986,107.5775","Kertawangi, Cisarua, Kabupaten Bandung Barat",Curug Cimahi adalah wisata air terjun di Bandung Barat dengan jalur trekking ringan dan suasana alam yang sejuk.,1,1,0,0,379.48,633,1063000,180000,280000,60000,1583000,melebihi budget,0
BDG-TRV-0030,Garut,1 hari,1,2,878000,hemat,transportasi umum,tanpa penginapan,wisata kuliner,kuliner,Martabak San Francisco Bandung,wisata kuliner,Kota Bandung,-6.9026,107.6092,"-6.9026,107.6092","Jl. Burangrang, Lengkong, Kota Bandung",Martabak San Francisco Bandung adalah destinasi kuliner legendaris yang dikenal dengan pilihan martabak manis dan martabak telur.,1,1,1,1,90.11,152,324000,0,140000,30000,494000,sesuai,1
BDG-TRV-0031,Cimahi,2 hari 1 malam,2,2,1714000,standar,mobil,standar,wisata kuliner,foto-foto,Sudirman Street Bandung,wisata kuliner,Kota Bandung,-6.9177,107.5969,"-6.9177,107.5969","Jl. Jend. Sudirman, Karanganyar, Astanaanyar, Kota Bandung",Sudirman Street Bandung adalah kawasan kuliner malam yang menawarkan berbagai makanan lokal dan suasana street food kota.,1,1,1,1,24.64,42,148000,320000,280000,30000,778000,sesuai,1
BDG-TRV-0032,Bogor,2 hari 1 malam,2,4,1538000,standar,mobil,nyaman,belanja,sejarah,Bandung Indah Plaza,mall,Kota Bandung,-6.9089,107.6105,"-6.9089,107.6105","Jl. Merdeka No.56, Citarum, Bandung Wetan, Kota Bandung","Bandung Indah Plaza adalah pusat perbelanjaan di pusat Kota Bandung dengan pilihan fashion, kuliner, hiburan, dan kebutuhan gaya hidup.",1,0,0,1,208.46,399,1251000,520000,560000,40000,2371000,melebihi budget,0
BDG-TRV-0033,Garut,3 hari 2 malam,3,5,1853000,premium,transportasi umum,standar,alam,keluarga,Ranca Upas,wisata alam,Kabupaten Bandung,-7.1421,107.3957,"-7.1421,107.3957","Jl. Raya Ciwidey-Patengan, Rancabali, Kabupaten Bandung",Ranca Upas adalah kawasan wisata alam dan bumi perkemahan yang dikenal dengan penangkaran rusa dan udara sejuk pegunungan.,1,1,0,1,147.06,222,529000,640000,1050000,150000,2369000,melebihi budget,0
BDG-TRV-0034,Bekasi,2 hari 1 malam,2,2,1222000,standar,transportasi umum,nyaman,kuliner,keluarga,Martabak San Francisco Bandung,wisata kuliner,Kota Bandung,-6.9026,107.6092,"-6.9026,107.6092","Jl. Burangrang, Lengkong, Kota Bandung",Martabak San Francisco Bandung adalah destinasi kuliner legendaris yang dikenal dengan pilihan martabak manis dan martabak telur.,1,1,0,1,135.93,261,489000,520000,280000,30000,1319000,melebihi budget,0
BDG-TRV-0035,Bogor,4 hari 3 malam,4,4,1165000,standar,motor,standar,wisata edukasi,santai,Paskal 23 Bandung,mall,Kota Bandung,-6.9147,107.5918,"-6.9147,107.5918","Jl. Pasir Kaliki No.25-27, Kebon Jeruk, Andir, Kota Bandung",Paskal 23 Bandung adalah pusat perbelanjaan dan kuliner modern yang dekat dengan kawasan stasiun dan pusat kota.,0,1,0,1,210.72,392,590000,960000,1120000,40000,2710000,melebihi budget,0
BDG-TRV-0036,Jakarta,3 hari 2 malam,3,2,4427000,premium,mobil,hemat,wisata kuliner,alam,Ranca Upas,wisata alam,Kabupaten Bandung,-7.1421,107.3957,"-7.1421,107.3957","Jl. Raya Ciwidey-Patengan, Rancabali, Kabupaten Bandung",Ranca Upas adalah kawasan wisata alam dan bumi perkemahan yang dikenal dengan penangkaran rusa dan udara sejuk pegunungan.,0,1,1,1,216.7,481,1300000,360000,420000,60000,2140000,sesuai,0
BDG-TRV-0037,Cimahi,1 hari,1,2,100000,hemat,transportasi umum,tanpa penginapan,belanja,keluarga,Trans Studio Mall Bandung,mall,Kota Bandung,-6.9254,107.6358,"-6.9254,107.6358","Jl. Gatot Subroto No.289, Cibangkong, Batununggal, Kota Bandung",Trans Studio Mall Bandung adalah pusat perbelanjaan dan hiburan indoor yang terhubung dengan kawasan Trans Studio Bandung.,1,1,0,1,17.0,26,61000,0,140000,20000,221000,melebihi budget,0
BDG-TRV-0038,Tasikmalaya,3 hari 2 malam,3,3,4484000,premium,mobil,hemat,belanja,belanja,Paris Van Java Mall,mall,Kota Bandung,-6.8893,107.5966,"-6.8893,107.5966","Jl. Sukajadi No.131-139, Cipedes, Sukajadi, Kota Bandung","Paris Van Java Mall adalah pusat belanja bergaya terbuka yang menawarkan kuliner, hiburan, fashion, dan suasana santai di Kota Bandung.",1,1,1,1,126.72,228,760000,360000,630000,30000,1780000,sesuai,1
BDG-TRV-0039,Bekasi,4 hari 3 malam,4,2,4098000,premium,transportasi umum,hemat,wisata alam,keluarga,The Lodge Maribaya,wisata alam,Kabupaten Bandung Barat,-6.8294,107.6875,"-6.8294,107.6875","Cibodas, Lembang, Kabupaten Bandung Barat","The Lodge Maribaya adalah destinasi alam dengan wahana foto, pemandangan hutan pinus, dan aktivitas rekreasi keluarga.",1,1,1,1,229.43,476,826000,540000,560000,60000,1986000,sesuai,1
BDG-TRV-0040,Cimahi,2 hari 1 malam,2,2,4754000,premium,transportasi umum,hemat,kuliner,kuliner,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",1,1,1,1,54.64,107,197000,180000,280000,30000,687000,sesuai,1
BDG-TRV-0041,Kabupaten Bandung,2 hari 1 malam,2,2,996000,hemat,transportasi umum,hemat,alam,alam,Dusun Bambu,wisata alam,Kabupaten Bandung Barat,-6.789,107.5788,"-6.789,107.5788","Jl. Kolonel Masturi KM 11, Cisarua, Kabupaten Bandung Barat","Dusun Bambu adalah destinasi wisata alam dan kuliner keluarga dengan pemandangan pegunungan, taman, dan area rekreasi.",1,1,1,1,50.87,100,183000,180000,280000,60000,703000,sesuai,1
BDG-TRV-0042,Depok,3 hari 2 malam,3,4,809000,hemat,mobil,nyaman,foto-foto,santai,Alun-Alun Bandung,wisata kota,Kota Bandung,-6.9218,107.6071,"-6.9218,107.6071","Jl. Asia Afrika, Balonggede, Regol, Kota Bandung","Alun-Alun Bandung adalah ruang publik ikonik di pusat Kota Bandung yang cocok untuk bersantai, berfoto, dan menikmati suasana kota dekat Masjid Raya Bandung.",1,1,0,0,380.11,799,2281000,1040000,840000,20000,4181000,melebihi budget,0
BDG-TRV-0043,Cimahi,4 hari 3 malam,4,3,1301000,hemat,motor,standar,edukasi,foto-foto,Museum Konferensi Asia Afrika,museum,Kota Bandung,-6.921,107.6097,"-6.921,107.6097","Jl. Asia Afrika No.65, Braga, Sumur Bandung, Kota Bandung","Museum Konferensi Asia Afrika menyajikan sejarah Konferensi Asia Afrika dan cocok untuk wisata edukasi, sejarah, serta kunjungan pelajar.",1,1,0,1,25.59,44,72000,960000,840000,45000,1917000,melebihi budget,0
BDG-TRV-0044,Kabupaten Bandung,3 hari 2 malam,3,1,1327000,standar,mobil,hemat,mall,kuliner,Bandung Indah Plaza,mall,Kota Bandung,-6.9089,107.6105,"-6.9089,107.6105","Jl. Merdeka No.56, Citarum, Bandung Wetan, Kota Bandung","Bandung Indah Plaza adalah pusat perbelanjaan di pusat Kota Bandung dengan pilihan fashion, kuliner, hiburan, dan kebutuhan gaya hidup.",1,1,0,1,141.13,264,847000,360000,210000,10000,1427000,melebihi budget,0
BDG-TRV-0045,Bekasi,1 hari,1,3,1786000,hemat,motor,tanpa penginapan,wisata alam,foto-foto,Kawah Putih,wisata alam,Kabupaten Bandung,-7.1662,107.402,"-7.1662,107.402","Sugihmukti, Pasirjambu, Kabupaten Bandung",Kawah Putih adalah wisata alam di Ciwidey dengan danau kawah berwarna putih kehijauan dan panorama pegunungan.,1,1,1,1,224.43,460,628000,0,210000,90000,928000,sesuai,1
BDG-TRV-0046,Kabupaten Bandung,3 hari 2 malam,3,2,471000,hemat,mobil,standar,alam,santai,Orchid Forest Cikole,wisata alam,Kabupaten Bandung Barat,-6.7806,107.6373,"-6.7806,107.6373","Cikole, Lembang, Kabupaten Bandung Barat","Orchid Forest Cikole adalah wisata alam hutan pinus dengan koleksi anggrek, spot foto, dan suasana sejuk di Lembang.",1,0,0,1,45.46,89,273000,640000,420000,60000,1393000,melebihi budget,0
BDG-TRV-0047,Tasikmalaya,3 hari 2 malam,3,1,473000,hemat,transportasi umum,standar,wisata religi,belanja,Bandung Indah Plaza,mall,Kota Bandung,-6.9089,107.6105,"-6.9089,107.6105","Jl. Merdeka No.56, Citarum, Bandung Wetan, Kota Bandung","Bandung Indah Plaza adalah pusat perbelanjaan di pusat Kota Bandung dengan pilihan fashion, kuliner, hiburan, dan kebutuhan gaya hidup.",0,1,0,1,118.46,231,426000,640000,210000,10000,1286000,melebihi budget,0
BDG-TRV-0048,Garut,3 hari 2 malam,3,2,456000,hemat,mobil,hemat,kuliner,kuliner,Martabak San Francisco Bandung,wisata kuliner,Kota Bandung,-6.9026,107.6092,"-6.9026,107.6092","Jl. Burangrang, Lengkong, Kota Bandung",Martabak San Francisco Bandung adalah destinasi kuliner legendaris yang dikenal dengan pilihan martabak manis dan martabak telur.,1,1,0,1,210.57,349,1263000,360000,420000,30000,2073000,melebihi budget,0
BDG-TRV-0049,Jakarta,2 hari 1 malam,2,5,2981000,hemat,mobil,hemat,alam,alam,Tangkuban Perahu,gunung,Kabupaten Bandung Barat,-6.7596,107.6098,"-6.7596,107.6098","Cikahuripan, Lembang, Kabupaten Bandung Barat",Tangkuban Perahu adalah kawasan wisata gunung berapi dengan kawah alam yang populer untuk wisata alam dan edukasi geologi.,1,1,1,1,170.98,280,1026000,180000,700000,175000,2081000,sesuai,1
BDG-TRV-0050,Tasikmalaya,2 hari 1 malam,2,3,1504000,premium,mobil,nyaman,foto-foto,foto-foto,Alun-Alun Bandung,wisata kota,Kota Bandung,-6.9218,107.6071,"-6.9218,107.6071","Jl. Asia Afrika, Balonggede, Regol, Kota Bandung","Alun-Alun Bandung adalah ruang publik ikonik di pusat Kota Bandung yang cocok untuk bersantai, berfoto, dan menikmati suasana kota dekat Masjid Raya Bandung.",1,1,0,1,148.75,259,892000,520000,420000,15000,1847000,melebihi budget,0
BDG-TRV-0051,Kota Bandung,3 hari 2 malam,3,5,688000,hemat,motor,hemat,wisata alam,santai,Kawah Putih,wisata alam,Kabupaten Bandung,-7.1662,107.402,"-7.1662,107.402","Sugihmukti, Pasirjambu, Kabupaten Bandung",Kawah Putih adalah wisata alam di Ciwidey dengan danau kawah berwarna putih kehijauan dan panorama pegunungan.,1,0,0,1,33.27,72,93000,360000,1050000,150000,1653000,melebihi budget,0
BDG-TRV-0052,Garut,2 hari 1 malam,2,4,1673000,premium,mobil,nyaman,mall,kuliner,Bandung Indah Plaza,mall,Kota Bandung,-6.9089,107.6105,"-6.9089,107.6105","Jl. Merdeka No.56, Citarum, Bandung Wetan, Kota Bandung","Bandung Indah Plaza adalah pusat perbelanjaan di pusat Kota Bandung dengan pilihan fashion, kuliner, hiburan, dan kebutuhan gaya hidup.",1,1,0,1,103.22,179,619000,520000,560000,40000,1739000,melebihi budget,0
BDG-TRV-0053,Jakarta,2 hari 1 malam,2,3,2298000,standar,mobil,nyaman,kebun binatang,edukasi,Kebun Binatang Bandung,kebun binatang,Kota Bandung,-6.8902,107.607,"-6.8902,107.607","Jl. Tamansari No.71, Lebak Siliwangi, Coblong, Kota Bandung",Kebun Binatang Bandung adalah wisata edukasi keluarga yang menampilkan berbagai satwa dan area rekreasi di kawasan Tamansari.,1,1,1,1,149.57,257,897000,520000,420000,150000,1987000,sesuai,1
BDG-TRV-0054,Bekasi,1 hari,1,4,655000,hemat,transportasi umum,tanpa penginapan,kebun binatang,edukasi,Jendela Alam,wisata edukasi,Kabupaten Bandung Barat,-6.8287,107.5976,"-6.8287,107.5976","Komplek Graha Puspa, Lembang, Kabupaten Bandung Barat","Jendela Alam adalah wisata edukasi keluarga yang mengenalkan aktivitas pertanian, peternakan, dan lingkungan alam.",0,1,0,0,191.78,413,690000,0,280000,100000,1070000,melebihi budget,0
BDG-TRV-0055,Garut,3 hari 2 malam,3,3,1245000,standar,mobil,standar,wisata kota,edukasi,Saung Angklung Udjo,wisata edukasi,Kota Bandung,-6.8992,107.6542,"-6.8992,107.6542","Jl. Padasuka No.118, Pasirlayung, Cibeunying Kidul, Kota Bandung","Saung Angklung Udjo adalah destinasi budaya dan edukasi yang menampilkan pertunjukan angklung, seni Sunda, dan aktivitas keluarga.",0,1,0,1,93.06,207,558000,640000,630000,75000,1903000,melebihi budget,0
BDG-TRV-0056,Bekasi,1 hari,1,2,2213000,standar,motor,tanpa penginapan,belanja,belanja,Paskal 23 Bandung,mall,Kota Bandung,-6.9147,107.5918,"-6.9147,107.5918","Jl. Pasir Kaliki No.25-27, Kebon Jeruk, Andir, Kota Bandung",Paskal 23 Bandung adalah pusat perbelanjaan dan kuliner modern yang dekat dengan kawasan stasiun dan pusat kota.,1,1,1,1,156.12,357,437000,0,140000,20000,597000,sesuai,1
